drone_type,temperature,wind_speed,rain,humidity,time_of_day,mission,payload,altitude,enemy_contact,temp_humidity,base_life,wind_rain,flight_duration_pct
ScanEagle,23.45,12.87,1,40.17,4,surveillance,1.426,814.0,1,941.82,900,12.87,83.53
RQ-4 Global Hawk,64.0,2.7,0,11.48,9,strike,541.462,242.0,1,734.66,3600,0.0,90.56
ScanEagle,10.95,2.23,0,58.53,21,recon,2.154,119.0,1,640.77,900,0.0,95.41
ScanEagle,14.34,1.38,0,77.5,8,recon,0.181,363.0,1,1111.46,900,0.0,98.45
Wasp AE,59.7,2.29,0,65.79,0,strike,0.029,1332.0,0,3927.45,60,0.0,63.6
Wasp AE,28.34,11.52,0,87.18,2,recon,0.002,599.0,1,2470.97,60,0.0,1.67
ScanEagle,-6.71,10.49,0,33.63,18,surveillance,2.478,740.0,0,-225.74,900,0.0,89.1
Wasp AE,38.38,17.89,1,42.24,8,strike,0.092,982.0,1,1621.21,60,17.89,1.67
RQ-4 Global Hawk,-6.8,14.87,0,82.58,12,recon,476.127,1383.0,0,-561.29,3600,0.0,88.02
RQ-4 Global Hawk,45.57,16.91,1,21.68,2,surveillance,259.625,554.0,1,988.02,3600,16.91,89.75
MQ-9 Reaper,32.43,4.2,0,48.39,21,strike,540.839,874.0,0,1569.02,2400,0.0,88.13
ScanEagle,45.12,7.99,0,69.88,13,strike,1.135,208.0,1,3152.69,900,0.0,94.51
RQ-4 Global Hawk,9.0,2.06,1,46.7,23,surveillance,291.474,153.0,1,420.51,3600,2.06,94.37
MQ-9 Reaper,-8.71,10.93,1,60.64,21,recon,1093.971,912.0,0,-528.0,2400,10.93,73.51
ScanEagle,-9.65,13.37,1,10.57,11,strike,2.215,802.0,0,-101.93,900,13.37,81.05
Wasp AE,28.84,19.07,0,38.05,0,recon,0.051,808.0,1,1097.35,60,0.0,1.67
ScanEagle,37.44,2.54,0,85.05,8,recon,1.313,1172.0,1,3183.8,900,0.0,96.86
Wasp AE,35.35,1.08,0,44.86,9,surveillance,0.027,890.0,0,1585.68,60,0.0,84.58
RQ-4 Global Hawk,38.43,12.26,1,65.96,14,recon,631.311,367.0,1,2534.78,3600,12.26,86.95
Wasp AE,-1.12,16.17,0,61.74,11,recon,0.033,1397.0,0,-69.42,60,0.0,1.67
ScanEagle,39.68,9.11,0,22.7,18,strike,2.014,854.0,0,900.63,900,0.0,92.73
MQ-9 Reaper,32.94,9.79,1,62.24,4,recon,1473.231,369.0,0,2050.07,2400,9.79,66.79
Wasp AE,20.21,1.51,0,55.86,4,recon,0.053,267.0,0,1128.68,60,0.0,77.8
